Name,Token,Setup_RSI,reasone
BOSCHLTD,2181,52,"Date from API 2025-10-24, processing date 2025-10-26"
LT,11483,53,"Date from API 2025-10-24, processing date 2025-10-26"
HEROMOTOCO,1348,52,"Date from API 2025-10-24, processing date 2025-10-26"
KFINTECH,13364,59,"Date from API 2025-10-24, processing date 2025-10-26"
KFINTECH,13364,45,"Date from API 2025-10-24, processing date 2025-10-26"
ICICIBANK,12458,52,"Date from API 2025-10-24, processing date 2025-10-26"
ICICIBANK,12458,36,"Date from API 2025-10-24, processing date 2025-10-26"
PERSISTENT,18368,63,"Date from API 2025-10-24, processing date 2025-10-26"
PERSISTENT,18368,33,"Date from API 2025-10-24, processing date 2025-10-26"
MARUTI,12587,38,"Date from API 2025-10-24, processing date 2025-10-26"
KAYNES,12092,54,"Date from API 2025-10-24, processing date 2025-10-26"
KAYNES,12092,49,"Date from API 2025-10-24, processing date 2025-10-26"
HINDALCO,1363,51,"Date from API 2025-10-24, processing date 2025-10-26"
BEML,395,47,"Date from API 2025-10-24, processing date 2025-10-26"
INDIGO,11195,43,"Date from API 2025-10-24, processing date 2025-10-26"
SOLARINDS,13332,61,"Date from API 2025-10-24, processing date 2025-10-26"
POLYCAB,9594,56,"Date from API 2025-10-24, processing date 2025-10-26"
POLYCAB,9594,49,"Date from API 2025-10-24, processing date 2025-10-26"
BAJAJHLDNG,305,42,"Date from API 2025-10-24, processing date 2025-10-26"
THERMAX,3475,45,"Date from API 2025-10-24, processing date 2025-10-26"
BSE,19588,61,"Date from API 2025-10-24, processing date 2025-10-26"
ALKEM,11703,46,"Date from API 2025-10-24, processing date 2025-10-26"
POWERINDIA,18458,44,"Date from API 2025-10-24, processing date 2025-10-26"
SBFC,18030,37,"Date from API 2025-10-24, processing date 2025-10-26"
MAZDOCK,521,35,"Date from API 2025-10-24, processing date 2025-10-26"
MUTHOOTFIN,23650,32,"Date from API 2025-10-24, processing date 2025-10-26"
FEDERALBNK,1023,43,"Date from API 2025-10-24, processing date 2025-10-26"
TVSMOTOR,8479,55,"Date from API 2025-10-24, processing date 2025-10-26"
HDFCAMC,4248,60,"Date from API 2025-10-24, processing date 2025-10-26"
CUMMINSIND,1901,45,"Date from API 2025-10-24, processing date 2025-10-26"
APOLLOHOSP,12209,53,"Date from API 2025-10-24, processing date 2025-10-26"
M&M,2031,50,"Date from API 2025-10-24, processing date 2025-10-26"
DIXON,21690,54,"Date from API 2025-10-24, processing date 2025-10-26"
NH,11840,50,"Date from API 2025-10-24, processing date 2025-10-26"
ULTRACEMCO,11532,51,"Date from API 2025-10-24, processing date 2025-10-26"
FORTIS,14592,58,"Date from API 2025-10-24, processing date 2025-10-26"
HAL,2312,59,"Date from API 2025-10-24, processing date 2025-10-26"
CHALET,8549,46,"Date from API 2025-10-24, processing date 2025-10-26"
NATIONALUM,12623,44,"Date from API 2025-10-24, processing date 2025-10-26"
BHEL,438,60,"Date from API 2025-10-24, processing date 2025-10-26"
RADICO,10990,48,"Date from API 2025-10-24, processing date 2025-10-26"
CONCORDBIO,18078,43,"Date from API 2025-10-24, processing date 2025-10-26"
KEC,13260,42,"Date from API 2025-10-24, processing date 2025-10-26"
LTIM,17845,41,"Date from API 2025-10-24, processing date 2025-10-26"
360ONE,13062,42,"Date from API 2025-10-24, processing date 2025-10-26"
BAJAJ-AUTO,16669,48,"Date from API 2025-10-24, processing date 2025-10-26"
GRASIM,1232,58,"Date from API 2025-10-24, processing date 2025-10-26"
NTPC,11630,52,"Date from API 2025-10-24, processing date 2025-10-26"
BHARTIARTL,10604,48,"Date from API 2025-10-24, processing date 2025-10-26"
UNITDSPR,10447,52,"Date from API 2025-10-24, processing date 2025-10-26"
ANANDRATHI,7145,56,"Date from API 2025-10-24, processing date 2025-10-26"
OFSS,10738,53,"Date from API 2025-10-24, processing date 2025-10-26"
MEDANTA,11962,72,"Date from API 2025-10-24, processing date 2025-10-26"
IRCTC,13613,67,"Date from API 2025-10-24, processing date 2025-10-26"
IRCTC,13613,39,"Date from API 2025-10-24, processing date 2025-10-26"
TORNTPHARM,3518,51,"Date from API 2025-10-24, processing date 2025-10-26"
ZYDUSLIFE,7929,57,"Date from API 2025-10-24, processing date 2025-10-26"
POLYMED,25721,52,"Date from API 2025-10-24, processing date 2025-10-26"
CGPOWER,760,58,"Date from API 2025-10-24, processing date 2025-10-26"
KIMS,4857,57,"Date from API 2025-10-24, processing date 2025-10-26"
GPIL,13409,50,"Date from API 2025-10-24, processing date 2025-10-26"
EICHERMOT,910,45,"Date from API 2025-10-24, processing date 2025-10-26"
ISEC,2489,69,"Date from API 2025-03-21, processing date 2025-10-26"
BLUESTARCO,8311,48,"Date from API 2025-10-24, processing date 2025-10-26"
GODREJIND,10925,54,"Date from API 2025-10-24, processing date 2025-10-26"
AXISBANK,5900,49,"Date from API 2025-10-24, processing date 2025-10-26"
ANURAS,2829,74,"Date from API 2025-10-24, processing date 2025-10-26"
GAIL,4717,49,"Date from API 2025-10-24, processing date 2025-10-26"
ACI,12030,50,"Date from API 2025-10-24, processing date 2025-10-26"
MSUMI,8597,63,"Date from API 2025-10-24, processing date 2025-10-26"
NESTLEIND,17963,36,"Date from API 2025-10-24, processing date 2025-10-26"
ENGINERSIN,4907,28,"Date from API 2025-10-24, processing date 2025-10-26"
CANFINHOME,583,38,"Date from API 2025-10-24, processing date 2025-10-26"
