rsi,symbol,win_ratio,priority,Symbol,token
48,BAJAJ-AUTO,70.00%,1,BAJAJ-AUTO,16669
58,GRASIM,69.77%,0,GRASIM,1232
52,NTPC,66.67%,0,NTPC,11630
48,BHARTIARTL,65.71%,1,BHARTIARTL,10604
52,UNITDSPR,70.31%,1,UNITDSPR,10447
55,TVSMOTOR,65.75%,1,TVSMOTOR,8479
56,ANANDRATHI,68.63%,1,ANANDRATHI,7145
53,OFSS,71.25%,1,OFSS,10738
56,TRENT,62.16%,1,TRENT,1964
52,BOSCHLTD,60.66%,1,BOSCHLTD,2181
60,HDFCAMC,60.32%,1,HDFCAMC,4248
61,ONGC,61.90%,1,ONGC,2475
45,CUMMINSIND,62.96%,1,CUMMINSIND,1901
64,COALINDIA,60.38%,1,COALINDIA,20374
59,COLPAL,49.30%,1,COLPAL,15141
53,APOLLOHOSP,70.67%,1,APOLLOHOSP,12209
72,MEDANTA,81.82%,1,MEDANTA,11962
50,M&M,56.32%,1,M&M,2031
54,DIXON,64.06%,1,DIXON,21690
60,SIEMENS,61.19%,1,SIEMENS,3150
68,TATAMOTORS,70.73%,1,TATAMOTORS,3456
51,SUVENPHAR,52.50%,1,SUVENPHAR,17946
67,IRCTC,80.65%,1,IRCTC,13613
53,LT,52.78%,1,LT,11483
52,HEROMOTOCO,51.85%,1,HEROMOTOCO,1348
59,KFINTECH,63.16%,1,KFINTECH,13364
50,NH,68.13%,1,NH,11840
51,TORNTPHARM,44.30%,1,TORNTPHARM,3518
52,PIDILITIND,62.82%,1,PIDILITIND,12674
52,ICICIBANK,65.06%,1,ICICIBANK,12458
73,GLS,90.00%,1,GLS,5276
63,PERSISTENT,59.15%,1,PERSISTENT,18368
51,HCLTECH,61.29%,1,HCLTECH,7229
57,ZYDUSLIFE,67.74%,1,ZYDUSLIFE,7929
71,ITC,73.33%,1,ITC,1660
38,MARUTI,90.00%,1,MARUTI,12587
51,ULTRACEMCO,62.07%,1,ULTRACEMCO,11532
58,FORTIS,53.76%,1,FORTIS,14592
54,KAYNES,75.61%,1,KAYNES,12092
52,GLENMARK,48.65%,1,GLENMARK,12395
51,HINDALCO,74.63%,1,HINDALCO,1363
61,JWL,54.24%,1,JWL,20227
54,PNBHOUSING,67.05%,1,PNBHOUSING,18908
47,BEML,71.67%,1,BEML,395
54,BIKAJI,65.22%,1,BIKAJI,11973
70,HSCL,54.17%,1,HSCL,14334
56,TORNTPOWER,58.75%,1,TORNTPOWER,13789
43,INDIGO,66.67%,1,INDIGO,11195
52,POLYMED,65.12%,1,POLYMED,25721
58,CGPOWER,71.21%,1,CGPOWER,760
63,NMDC,72.55%,1,NMDC,15335
42,IOC,47.14%,1,IOC,1624
61,SOLARINDS,63.46%,0,SOLARINDS,13332
70,LUPIN,58.06%,0,LUPIN,10440
59,HAL,67.16%,0,HAL,2312
50,ATUL,47.06%,0,ATUL,263
57,KIMS,71.01%,0,KIMS,4857
50,MAHSEAMLES,57.50%,0,MAHSEAMLES,2088
56,POLYCAB,71.01%,0,POLYCAB,9594
46,CHALET,62.96%,0,CHALET,8549
72,BSOFT,65.38%,0,BSOFT,6994
51,KPIL,62.86%,0,KPIL,1814
50,GPIL,57.58%,0,GPIL,13409
45,EICHERMOT,63.64%,0,EICHERMOT,910
51,GODFRYPHLP,53.49%,0,GODFRYPHLP,1181
60,TATAINVEST,54.41%,0,TATAINVEST,1621
45,FIVESTAR,64.52%,0,FIVESTAR,12036
47,TATACONSUM,60.61%,0,TATACONSUM,3432
42,BAJAJHLDNG,64.00%,0,BAJAJHLDNG,305
45,ABB,53.85%,0,ABB,12181
54,SUNDRMFAST,55.00%,0,SUNDRMFAST,3345
60,SUZLON,61.82%,0,SUZLON,12018
58,SUNPHARMA,58.21%,0,SUNPHARMA,3351
58,HAVELLS,47.83%,0,HAVELLS,9819
63,RECLTD,56.25%,0,RECLTD,15353
45,COROMANDEL,54.67%,0,COROMANDEL,739
48,POWERGRID,65.28%,0,POWERGRID,14977
48,INDIANB,56.00%,0,INDIANB,14311
54,CYIENT,53.62%,0,CYIENT,12487
52,JKCEMENT,65.00%,0,JKCEMENT,13270
53,ACE,54.65%,0,ACE,13589
62,MRF,55.93%,0,MRF,2277
60,ZOMATO,58.18%,0,ZOMATO,5102
47,SUNDARMFIN,52.63%,0,SUNDARMFIN,3339
47,GILLETTE,57.33%,0,GILLETTE,1576
62,KAJARIACER,54.69%,0,KAJARIACER,1808
53,JSL,54.41%,0,JSL,11236
60,RAILTEL,57.78%,0,RAILTEL,2443
56,ASTERDM,53.49%,0,ASTERDM,1508
57,VAIBHAVGBL,53.45%,0,VAIBHAVGBL,11364
45,THERMAX,62.30%,0,THERMAX,3475
60,OIL,68.33%,0,OIL,17441
61,ASIANPAINT,57.81%,0,ASIANPAINT,236
63,BERGEPAINT,67.24%,0,BERGEPAINT,404
61,BSE,56.90%,0,BSE,19588
48,CERA,57.97%,0,CERA,15039
56,SUPREMEIND,61.64%,1,SUPREMEIND,3363
69,ISEC,69.23%,1,ISEC,2489
55,TATAELXSI,63.33%,1,TATAELXSI,3411
53,NCC,49.37%,1,NCC,2319
46,ALKEM,63.01%,1,ALKEM,11703
44,AJANTPHARM,44.87%,1,AJANTPHARM,12191
48,BLUESTARCO,61.90%,1,BLUESTARCO,8311
60,CANBK,47.06%,1,CANBK,10794
44,NATIONALUM,65.00%,1,NATIONALUM,12623
56,LALPATHLAB,48.68%,1,LALPATHLAB,11685
60,BHEL,67.27%,1,BHEL,438
56,JAIBALAJI,49.02%,1,JAIBALAJI,14076
47,ENDURANCE,50.70%,1,ENDURANCE,18825
48,RADICO,61.11%,1,RADICO,10990
56,ESCORTS,50.77%,1,ESCORTS,958
48,LEMONTREE,55.70%,1,LEMONTREE,2606
50,INDHOTEL,54.12%,1,INDHOTEL,1512
55,ZFCVINDIA,48.24%,1,ZFCVINDIA,16918
52,ADANIPORTS,64.18%,1,ADANIPORTS,15083
42,GMRINFRA,65.57%,1,GMRINFRA,13528
48,AAVAS,58.90%,1,AAVAS,5385
56,TATASTEEL,57.50%,1,TATASTEEL,3499
56,WIPRO,58.11%,1,WIPRO,3787
48,BAJAJFINSV,47.22%,1,BAJAJFINSV,16678
57,RAINBOW,62.50%,1,RAINBOW,9408
60,ERIS,42.03%,1,ERIS,21154
58,PNB,53.33%,1,PNB,10666
53,LINDEINDIA,50.72%,1,LINDEINDIA,1627
54,MFSL,59.21%,1,MFSL,2142
49,VGUARD,59.74%,1,VGUARD,15362
42,BEL,57.89%,1,BEL,383
58,TATAPOWER,56.06%,1,TATAPOWER,3426
54,GODREJIND,65.08%,1,GODREJIND,10925
56,ADANIPOWER,57.14%,1,ADANIPOWER,17388
57,AMBUJACEM,52.17%,1,AMBUJACEM,1270
60,WELCORP,48.05%,1,WELCORP,12890
