rsi,symbol,win_ratio,priority,Symbol,token
42,360ONE,62.50%,1,360ONE,13062
50,ACI,69.44%,0,ACI,12030
46,ALKEM,63.01%,2,ALKEM,11703
56,ANANDRATHI,68.63%,0,ANANDRATHI,7145
74,ANURAS,87.50%,0,ANURAS,2829
53,APOLLOHOSP,70.67%,1,APOLLOHOSP,12209
49,AXISBANK,65.38%,0,AXISBANK,5900
48,BAJAJ-AUTO,70.00%,0,BAJAJ-AUTO,16669
42,BAJAJHLDNG,64.00%,2,BAJAJHLDNG,305
47,BEML,71.67%,2,BEML,395
48,BHARTIARTL,65.71%,0,BHARTIARTL,10604
60,BHEL,67.27%,1,BHEL,438
48,BLUESTARCO,61.90%,0,BLUESTARCO,8311
52,BOSCHLTD,60.66%,2,BOSCHLTD,2181
61,BSE,56.90%,2,BSE,19588
38,CANFINHOME,61.29%,0,CANFINHOME,583
58,CGPOWER,71.21%,0,CGPOWER,760
46,CHALET,62.96%,1,CHALET,8549
43,CONCORDBIO,63.64%,1,CONCORDBIO,18078
45,CUMMINSIND,62.96%,1,CUMMINSIND,1901
54,DIXON,64.06%,1,DIXON,21690
45,EICHERMOT,63.64%,0,EICHERMOT,910
28,ENGINERSIN,100.00%,0,ENGINERSIN,4907
43,FEDERALBNK,61.02%,2,FEDERALBNK,1023
58,FORTIS,53.76%,1,FORTIS,14592
49,GAIL,64.18%,0,GAIL,4717
54,GODREJIND,65.08%,0,GODREJIND,10925
50,GPIL,57.58%,0,GPIL,13409
58,GRASIM,69.77%,0,GRASIM,1232
59,HAL,67.16%,1,HAL,2312
60,HDFCAMC,60.32%,1,HDFCAMC,4248
52,HEROMOTOCO,51.85%,2,HEROMOTOCO,1348
51,HINDALCO,74.63%,2,HINDALCO,1363
52,ICICIBANK,65.06%,2,ICICIBANK,12458
36,ICICIBANK,65.06%,2,ICICIBANK,12458
43,INDIGO,66.67%,2,INDIGO,11195
67,IRCTC,80.65%,0,IRCTC,13613
39,IRCTC,80.65%,0,IRCTC,13613
69,ISEC,69.23%,0,ISEC,2489
54,KAYNES,75.61%,2,KAYNES,12092
49,KAYNES,75.61%,2,KAYNES,12092
42,KEC,74.47%,1,KEC,13260
59,KFINTECH,63.16%,2,KFINTECH,13364
45,KFINTECH,63.16%,2,KFINTECH,13364
57,KIMS,71.01%,0,KIMS,4857
53,LT,52.78%,2,LT,11483
41,LTIM,68.09%,1,LTIM,17845
50,M&M,56.32%,1,M&M,2031
38,MARUTI,90.00%,2,MARUTI,12587
35,MAZDOCK,82.35%,2,MAZDOCK,521
72,MEDANTA,81.82%,0,MEDANTA,11962
63,MSUMI,73.33%,0,MSUMI,8597
32,MUTHOOTFIN,73.68%,2,MUTHOOTFIN,23650
44,NATIONALUM,65.00%,1,NATIONALUM,12623
36,NESTLEIND,61.11%,0,NESTLEIND,17963
50,NH,68.13%,1,NH,11840
52,NTPC,66.67%,0,NTPC,11630
53,OFSS,71.25%,0,OFSS,10738
63,PERSISTENT,59.15%,2,PERSISTENT,18368
33,PERSISTENT,59.15%,2,PERSISTENT,18368
56,POLYCAB,71.01%,2,POLYCAB,9594
49,POLYCAB,71.01%,2,POLYCAB,9594
52,POLYMED,65.12%,0,POLYMED,25721
44,POWERINDIA,73.17%,2,POWERINDIA,18458
48,RADICO,61.11%,1,RADICO,10990
37,SBFC,100.00%,2,SBFC,18030
61,SOLARINDS,63.46%,2,SOLARINDS,13332
45,THERMAX,62.30%,2,THERMAX,3475
51,TORNTPHARM,44.30%,0,TORNTPHARM,3518
55,TVSMOTOR,65.75%,1,TVSMOTOR,8479
51,ULTRACEMCO,62.07%,1,ULTRACEMCO,11532
52,UNITDSPR,70.31%,0,UNITDSPR,10447
57,ZYDUSLIFE,67.74%,0,ZYDUSLIFE,7929
