Symbol,NAME OF COMPANY,token
360ONE,360 ONE WAM LIMITED,13062.0
3MINDIA,3M India Limited,474.0
ABB,ABB India Limited,12181.0
ACC,ACC Limited,22.0
AIAENG,AIA Engineering Limited,13086.0
APLAPOLLO,APL Apollo Tubes Limited,25780.0
AUBANK,AU Small Finance Bank Limited,21241.0
AARTIIND,Aarti Industries Limited,12180.0
AAVAS,Aavas Financiers Limited,5385.0
ABBOTINDIA,Abbott India Limited,17903.0
ACE,Action Construction Equipment Limited,13589.0
ADANIENSOL,Adani Energy Solutions Limited,10217.0
ADANIENT,Adani Enterprises Limited,25.0
ADANIGREEN,Adani Green Energy Limited,3568.0
ADANIPORTS,Adani Ports and Special Economic Zone Limited,15083.0
ADANIPOWER,Adani Power Limited,17388.0
ATGL,Adani Total Gas Limited,6071.0
AWL,Adani Wilmar Limited,8115.0
ABCAPITAL,Aditya Birla Capital Limited,21617.0
ABFRL,Aditya Birla Fashion and Retail Limited,30111.0
AEGISLOG,Aegis Logistics Limited,12187.0
AETHER,Aether Industries Limited,9810.0
AFFLE,Affle (India) Limited,11345.0
AJANTPHARM,Ajanta Pharma Limited,12191.0
APLLTD,Alembic Pharmaceuticals Limited,25328.0
ALKEM,Alkem Laboratories Limited,11703.0
ALKYLAMINE,Alkyl Amines Chemicals Limited,4487.0
ALLCARGO,Allcargo Logistics Limited,13505.0
ALOKINDS,Alok Industries Limited,17675.0
ARE&M,Amara Raja Energy & Mobility Limited,100.0
AMBER,Amber Enterprises India Limited,1192.0
AMBUJACEM,Ambuja Cements Limited,1270.0
ANANDRATHI,Anand Rathi Wealth Limited,7145.0
ANGELONE,Angel One Limited,328.0
ANURAS,Anupam Rasayan India Limited,2829.0
APARINDS,Apar Industries Limited,12206.0
APOLLOHOSP,Apollo Hospitals Enterprise Limited,12209.0
APOLLOTYRE,Apollo Tyres Limited,163.0
APTUS,Aptus Value Housing Finance India Limited,5435.0
ACI,Archean Chemical Industries Limited,12030.0
ASAHIINDIA,Asahi India Glass Limited,12215.0
ASHOKLEY,Ashok Leyland Limited,12218.0
