rsi,symbol,sl_pct,total_trades,winning_trades,losing_trades,win_ratio,priority
52,BOSCHLTD,0.1,61,37,24,60.66%,2
53,LT,0.1,72,38,34,52.78%,2
52,HEROMOTOCO,0.1,81,42,39,51.85%,2
59,KFINTECH,0.1,38,24,14,63.16%,2
52,ICICIBANK,0.1,83,54,29,65.06%,2
63,PERSISTENT,0.1,71,42,29,59.15%,2
38,MARUTI,0.1,40,36,4,90.00%,2
54,KAYNES,0.1,41,31,10,75.61%,2
51,HINDALCO,0.1,67,50,17,74.63%,2
47,BEML,0.1,60,43,17,71.67%,2
43,INDIGO,0.1,54,36,18,66.67%,2
61,SOLARINDS,0.1,52,33,19,63.46%,2
56,POLYCAB,0.08,69,49,20,71.01%,2
42,BAJAJHLDNG,0.1,50,32,18,64.00%,2
45,THERMAX,0.1,61,38,23,62.30%,2
61,BSE,0.1,58,33,25,56.90%,2
46,ALKEM,0.1,73,46,27,63.01%,2
44,POWERINDIA,0.1,41,30,11,73.17%,2
37,SBFC,0.1,10,10,0,100.00%,2
35,MAZDOCK,0.1,17,14,3,82.35%,2
32,MUTHOOTFIN,0.1,19,14,5,73.68%,2
43,FEDERALBNK,0.1,59,36,23,61.02%,2
55,TVSMOTOR,0.1,73,48,25,65.75%,1
60,HDFCAMC,0.1,63,38,25,60.32%,1
45,CUMMINSIND,0.1,54,34,20,62.96%,1
53,APOLLOHOSP,0.1,75,53,22,70.67%,1
50,M&M,0.1,87,49,38,56.32%,1
54,DIXON,0.1,64,41,23,64.06%,1
50,NH,0.1,91,62,29,68.13%,1
51,ULTRACEMCO,0.1,87,54,33,62.07%,1
58,FORTIS,0.1,93,50,43,53.76%,1
59,HAL,0.1,67,45,22,67.16%,1
46,CHALET,0.1,54,34,20,62.96%,1
44,NATIONALUM,0.1,60,39,21,65.00%,1
60,BHEL,0.1,55,37,18,67.27%,1
48,RADICO,0.1,72,44,28,61.11%,1
43,CONCORDBIO,0.1,22,14,8,63.64%,1
42,KEC,0.1,47,35,12,74.47%,1
41,LTIM,0.1,47,32,15,68.09%,1
42,360ONE,0.1,56,35,21,62.50%,1
48,BAJAJ-AUTO,0.1,70,49,21,70.00%,0
58,GRASIM,0.1,86,60,26,69.77%,0
52,NTPC,0.1,75,50,25,66.67%,0
48,BHARTIARTL,0.1,70,46,24,65.71%,0
52,UNITDSPR,0.1,64,45,19,70.31%,0
56,ANANDRATHI,0.1,51,35,16,68.63%,0
53,OFSS,0.1,80,57,23,71.25%,0
72,MEDANTA,0.1,22,18,4,81.82%,0
67,IRCTC,0.1,31,25,6,80.65%,0
51,TORNTPHARM,0.1,79,35,44,44.30%,0
57,ZYDUSLIFE,0.1,62,42,20,67.74%,0
52,POLYMED,0.1,86,56,30,65.12%,0
58,CGPOWER,0.1,66,47,19,71.21%,0
57,KIMS,0.1,69,49,20,71.01%,0
50,GPIL,0.1,66,38,28,57.58%,0
45,EICHERMOT,0.1,77,49,28,63.64%,0
69,ISEC,0.1,26,18,8,69.23%,0
48,BLUESTARCO,0.1,63,39,24,61.90%,0
54,GODREJIND,0.1,63,41,22,65.08%,0
49,AXISBANK,0.1,78,51,27,65.38%,0
74,ANURAS,0.1,16,14,2,87.50%,0
49,GAIL,0.1,67,43,24,64.18%,0
50,ACI,0.08,36,25,11,69.44%,0
63,MSUMI,0.1,30,22,8,73.33%,0
36,NESTLEIND,0.1,36,22,14,61.11%,0
28,ENGINERSIN,0.08,10,10,0,100.00%,0
38,CANFINHOME,0.1,31,19,12,61.29%,0
