rsi,sl_pct,total_trades,winning_trades,losing_trades,win_ratio,symbol
10,0.5,2,2,0,100.0,360ONE
10,1.0,2,1,1,50.0,360ONE
10,1.5,2,1,1,50.0,360ONE
10,2.0,2,1,1,50.0,360ONE
11,0.5,3,3,0,100.0,360ONE
11,1.0,3,2,1,66.67,360ONE
11,1.5,3,2,1,66.67,360ONE
11,2.0,3,2,1,66.67,360ONE
12,0.5,5,3,2,60.0,360ONE
12,1.0,5,3,2,60.0,360ONE
12,1.5,5,3,2,60.0,360ONE
12,2.0,5,3,2,60.0,360ONE
13,0.5,7,2,5,28.57,360ONE
13,1.0,7,4,3,57.14,360ONE
13,1.5,7,3,4,42.86,360ONE
13,2.0,7,3,4,42.86,360ONE
14,0.5,10,3,7,30.0,360ONE
14,1.0,10,5,5,50.0,360ONE
14,1.5,10,3,7,30.0,360ONE
14,2.0,10,3,7,30.0,360ONE
15,0.5,15,4,11,26.669999999999998,360ONE
15,1.0,15,7,8,46.67,360ONE
15,1.5,15,5,10,33.33,360ONE
15,2.0,15,4,11,26.669999999999998,360ONE
16,0.5,21,8,13,38.1,360ONE
16,1.0,21,10,11,47.620000000000005,360ONE
16,1.5,21,7,14,33.33,360ONE
16,2.0,21,6,15,28.57,360ONE
17,0.5,31,14,17,45.16,360ONE
17,1.0,31,12,19,38.71,360ONE
17,1.5,31,9,22,29.03,360ONE
17,2.0,31,8,23,25.81,360ONE
18,0.5,36,15,21,41.67,360ONE
18,1.0,36,13,23,36.11,360ONE
18,1.5,36,11,25,30.56,360ONE
18,2.0,36,10,26,27.779999999999998,360ONE
19,0.5,41,17,24,41.46,360ONE
19,1.0,41,14,27,34.150000000000006,360ONE
19,1.5,41,12,29,29.270000000000003,360ONE
19,2.0,41,11,30,26.83,360ONE
20,0.5,52,24,28,46.150000000000006,360ONE
20,1.0,52,21,31,40.38,360ONE
20,1.5,52,18,34,34.62,360ONE
20,2.0,52,17,35,32.690000000000005,360ONE
21,0.5,69,31,38,44.93,360ONE
21,1.0,69,27,42,39.129999999999995,360ONE
21,1.5,69,25,44,36.230000000000004,360ONE
21,2.0,69,21,48,30.43,360ONE
22,0.5,87,38,49,43.68,360ONE
22,1.0,87,31,56,35.63,360ONE
22,1.5,87,32,55,36.78,360ONE
22,2.0,87,28,59,32.18,360ONE
23,0.5,100,38,62,38.0,360ONE
23,1.0,100,35,65,35.0,360ONE
23,1.5,100,39,61,39.0,360ONE
23,2.0,100,35,65,35.0,360ONE
24,0.5,118,44,74,37.29,360ONE
24,1.0,118,45,73,38.14,360ONE
24,1.5,118,47,71,39.83,360ONE
24,2.0,118,43,75,36.44,360ONE
25,0.5,127,45,82,35.43,360ONE
25,1.0,127,48,79,37.8,360ONE
25,1.5,127,49,78,38.58,360ONE
25,2.0,127,45,82,35.43,360ONE
26,0.5,148,58,90,39.190000000000005,360ONE
26,1.0,148,58,90,39.190000000000005,360ONE
26,1.5,148,55,93,37.16,360ONE
26,2.0,148,52,96,35.14,360ONE
27,0.5,179,64,115,35.75,360ONE
