rsi,symbol,sl_pct,total_trades,winning_trades,losing_trades,win_ratio,priority
48,BAJAJ-AUTO,0.1,70,49,21,70.00%,1
58,GRASIM,0.1,86,60,26,69.77%,0
52,NTPC,0.1,75,50,25,66.67%,0
48,BHARTIARTL,0.1,70,46,24,65.71%,1
52,UNITDSPR,0.1,64,45,19,70.31%,1
55,TVSMOTOR,0.1,73,48,25,65.75%,1
56,ANANDRATHI,0.1,51,35,16,68.63%,1
53,OFSS,0.1,80,57,23,71.25%,1
56,TRENT,0.1,74,46,28,62.16%,1
52,BOSCHLTD,0.1,61,37,24,60.66%,1
60,HDFCAMC,0.1,63,38,25,60.32%,1
61,ONGC,0.1,63,39,24,61.90%,1
45,CUMMINSIND,0.1,54,34,20,62.96%,1
64,COALINDIA,0.1,53,32,21,60.38%,1
59,COLPAL,0.1,71,35,36,49.30%,1
53,APOLLOHOSP,0.1,75,53,22,70.67%,1
72,MEDANTA,0.1,22,18,4,81.82%,1
50,M&M,0.1,87,49,38,56.32%,1
54,DIXON,0.1,64,41,23,64.06%,1
60,SIEMENS,0.1,67,41,26,61.19%,1
68,TATAMOTORS,0.1,41,29,12,70.73%,1
51,SUVENPHAR,0.1,80,42,38,52.50%,1
67,IRCTC,0.1,31,25,6,80.65%,1
53,LT,0.1,72,38,34,52.78%,1
52,HEROMOTOCO,0.1,81,42,39,51.85%,1
59,KFINTECH,0.1,38,24,14,63.16%,1
50,NH,0.1,91,62,29,68.13%,1
51,TORNTPHARM,0.1,79,35,44,44.30%,1
52,PIDILITIND,0.1,78,49,29,62.82%,1
52,ICICIBANK,0.1,83,54,29,65.06%,1
73,GLS,0.1,10,9,1,90.00%,1
63,PERSISTENT,0.1,71,42,29,59.15%,1
51,HCLTECH,0.1,62,38,24,61.29%,1
57,ZYDUSLIFE,0.1,62,42,20,67.74%,1
71,ITC,0.1,30,22,8,73.33%,1
38,MARUTI,0.1,40,36,4,90.00%,1
51,ULTRACEMCO,0.1,87,54,33,62.07%,1
58,FORTIS,0.1,93,50,43,53.76%,1
54,KAYNES,0.1,41,31,10,75.61%,1
52,GLENMARK,0.1,74,36,38,48.65%,1
51,HINDALCO,0.1,67,50,17,74.63%,1
61,JWL,0.1,59,32,27,54.24%,1
54,PNBHOUSING,0.1,88,59,29,67.05%,1
47,BEML,0.1,60,43,17,71.67%,1
54,BIKAJI,0.1,46,30,16,65.22%,1
70,HSCL,0.1,24,13,11,54.17%,1
56,TORNTPOWER,0.1,80,47,33,58.75%,1
43,INDIGO,0.1,54,36,18,66.67%,1
52,POLYMED,0.1,86,56,30,65.12%,1
58,CGPOWER,0.1,66,47,19,71.21%,1
63,NMDC,0.1,51,37,14,72.55%,1
42,IOC,0.1,70,33,37,47.14%,1
61,SOLARINDS,0.1,52,33,19,63.46%,0
70,LUPIN,0.1,31,18,13,58.06%,0
59,HAL,0.1,67,45,22,67.16%,0
50,ATUL,0.1,68,32,36,47.06%,0
57,KIMS,0.1,69,49,20,71.01%,0
50,MAHSEAMLES,0.1,80,46,34,57.50%,0
56,POLYCAB,0.08,69,49,20,71.01%,0
46,CHALET,0.1,54,34,20,62.96%,0
72,BSOFT,0.1,26,17,9,65.38%,0
51,KPIL,0.1,70,44,26,62.86%,0
50,GPIL,0.1,66,38,28,57.58%,0
45,EICHERMOT,0.1,77,49,28,63.64%,0
51,GODFRYPHLP,0.1,86,46,40,53.49%,0
60,TATAINVEST,0.1,68,37,31,54.41%,0
45,FIVESTAR,0.1,31,20,11,64.52%,0
47,TATACONSUM,0.1,66,40,26,60.61%,0
42,BAJAJHLDNG,0.1,50,32,18,64.00%,0
45,ABB,0.1,65,35,30,53.85%,0
54,SUNDRMFAST,0.1,80,44,36,55.00%,0
60,SUZLON,0.1,55,34,21,61.82%,0
58,SUNPHARMA,0.1,67,39,28,58.21%,0
58,HAVELLS,0.1,69,33,36,47.83%,0
63,RECLTD,0.1,48,27,21,56.25%,0
45,COROMANDEL,0.1,75,41,34,54.67%,0
48,POWERGRID,0.1,72,47,25,65.28%,0
48,INDIANB,0.1,75,42,33,56.00%,0
54,CYIENT,0.1,69,37,32,53.62%,0
52,JKCEMENT,0.1,60,39,21,65.00%,0
53,ACE,0.1,86,47,39,54.65%,0
62,MRF,0.1,59,33,26,55.93%,0
60,ZOMATO,0.1,55,32,23,58.18%,0
47,SUNDARMFIN,0.1,76,40,36,52.63%,0
47,GILLETTE,0.1,75,43,32,57.33%,0
62,KAJARIACER,0.1,64,35,29,54.69%,0
53,JSL,0.1,68,37,31,54.41%,0
60,RAILTEL,0.1,45,26,19,57.78%,0
56,ASTERDM,0.1,86,46,40,53.49%,0
57,VAIBHAVGBL,0.1,58,31,27,53.45%,0
45,THERMAX,0.1,61,38,23,62.30%,0
60,OIL,0.1,60,41,19,68.33%,0
61,ASIANPAINT,0.08,64,37,27,57.81%,0
63,BERGEPAINT,0.08,58,39,19,67.24%,0
61,BSE,0.1,58,33,25,56.90%,0
48,CERA,0.1,69,40,29,57.97%,0
56,SUPREMEIND,0.1,73,45,28,61.64%,1
69,ISEC,0.1,26,18,8,69.23%,1
55,TATAELXSI,0.1,60,38,22,63.33%,1
53,NCC,0.1,79,39,40,49.37%,1
46,ALKEM,0.1,73,46,27,63.01%,1
44,AJANTPHARM,0.1,78,35,43,44.87%,1
48,BLUESTARCO,0.1,63,39,24,61.90%,1
60,CANBK,0.1,68,32,36,47.06%,1
44,NATIONALUM,0.1,60,39,21,65.00%,1
56,LALPATHLAB,0.1,76,37,39,48.68%,1
60,BHEL,0.1,55,37,18,67.27%,1
56,JAIBALAJI,0.1,51,25,26,49.02%,1
47,ENDURANCE,0.1,71,36,35,50.70%,1
48,RADICO,0.1,72,44,28,61.11%,1
56,ESCORTS,0.1,65,33,32,50.77%,1
48,LEMONTREE,0.1,79,44,35,55.70%,1
50,INDHOTEL,0.1,85,46,39,54.12%,1
55,ZFCVINDIA,0.1,85,41,44,48.24%,1
52,ADANIPORTS,0.1,67,43,24,64.18%,1
42,GMRINFRA,0.1,61,40,21,65.57%,1
48,AAVAS,0.1,73,43,30,58.90%,1
56,TATASTEEL,0.1,80,46,34,57.50%,1
56,WIPRO,0.08,74,43,31,58.11%,1
48,BAJAJFINSV,0.1,72,34,38,47.22%,1
57,RAINBOW,0.1,64,40,24,62.50%,1
60,ERIS,0.1,69,29,40,42.03%,1
58,PNB,0.1,60,32,28,53.33%,1
53,LINDEINDIA,0.1,69,35,34,50.72%,1
54,MFSL,0.1,76,45,31,59.21%,1
49,VGUARD,0.1,77,46,31,59.74%,1
42,BEL,0.1,57,33,24,57.89%,1
58,TATAPOWER,0.1,66,37,29,56.06%,1
54,GODREJIND,0.1,63,41,22,65.08%,1
56,ADANIPOWER,0.1,70,40,30,57.14%,1
57,AMBUJACEM,0.1,69,36,33,52.17%,1
60,WELCORP,0.1,77,37,40,48.05%,1
43,TIINDIA,0.1,66,37,29,56.06%,1
58,APLAPOLLO,0.1,72,42,30,58.33%,1
55,MANAPPURAM,0.1,77,45,32,58.44%,1
49,AXISBANK,0.1,78,51,27,65.38%,1
60,VOLTAS,0.1,64,31,33,48.44%,1
59,TITAGARH,0.1,68,40,28,58.82%,1
62,UJJIVANSFB,0.1,47,25,22,53.19%,1
44,POWERINDIA,0.1,41,30,11,73.17%,1
45,BRITANNIA,0.1,74,42,32,56.76%,1
48,BANKBARODA,0.1,73,34,39,46.58%,1
54,JYOTHYLAB,0.1,68,32,36,47.06%,1
72,TTML,0.1,13,9,4,69.23%,1
50,KARURVYSYA,0.1,67,28,39,41.79%,1
49,VEDL,0.1,81,43,38,53.09%,1
56,LTF,0.1,80,38,42,47.50%,1
74,ANURAS,0.1,16,14,2,87.50%,1
57,DALBHARAT,0.1,80,39,41,48.75%,1
51,TATACOMM,0.1,73,45,28,61.64%,1
43,CONCORDBIO,0.1,22,14,8,63.64%,1
44,ICICIGI,0.1,70,41,29,58.57%,1
40,BANKINDIA,0.1,60,37,23,61.67%,1
57,SCHAEFFLER,0.1,58,33,25,56.90%,1
56,RAYMOND,0.1,81,43,38,53.09%,1
48,KEI,0.1,60,34,26,56.67%,1
42,KEC,0.1,47,35,12,74.47%,1
48,SBIN,0.1,72,39,33,54.17%,1
33,HONAUT,0.1,32,22,10,68.75%,1
60,UNOMINDA,0.1,76,45,31,59.21%,1
