invested_amount,quantity,entry_price,exit_price,index,entry_time,exit_time,pnl,percentage_move,rsi
99955.04,914,109.36,110.45360000000001,5698,2025-04-25 10:05:00+05:30,2025-04-25 10:15:00+05:30,999.5504000000085,1,10
99989.1,783,127.7,127.34,8610,2025-06-19 12:50:00+05:30,2025-06-19 15:25:00+05:30,-281.87999999999954,1,10
99896.47,761,131.27,129.9573,10286,2025-07-23 09:45:00+05:30,2025-07-23 11:20:00+05:30,-998.964700000005,1,10
99970.20000000001,765,130.68,129.37320000000003,10294,2025-07-23 10:05:00+05:30,2025-07-23 12:00:00+05:30,-999.7019999999857,1,10
99900.2,914,109.3,109.0,14235,2025-10-08 15:05:00+05:30,2025-10-08 15:25:00+05:30,-274.19999999999743,1,10
99953.02,941,106.22,105.15780000000001,14713,2025-10-17 09:20:00+05:30,2025-10-17 11:30:00+05:30,-999.5301999999906,1,10
99955.04,914,109.36,110.45360000000001,5698,2025-04-25 10:05:00+05:30,2025-04-25 10:15:00+05:30,999.5504000000085,1,11
99989.1,783,127.7,127.34,8610,2025-06-19 12:50:00+05:30,2025-06-19 15:25:00+05:30,-281.87999999999954,1,11
99915.1,730,136.87,138.2387,9742,2025-07-11 09:35:00+05:30,2025-07-11 09:45:00+05:30,999.1509999999926,1,11
99970.20000000001,765,130.68,129.37320000000003,10294,2025-07-23 10:05:00+05:30,2025-07-23 12:00:00+05:30,-999.7019999999857,1,11
99900.2,914,109.3,109.0,14235,2025-10-08 15:05:00+05:30,2025-10-08 15:25:00+05:30,-274.19999999999743,1,11
99909.6,939,106.4,105.336,14706,2025-10-17 09:25:00+05:30,2025-10-17 10:55:00+05:30,-999.0960000000067,1,11
99951.40000000001,907,110.2,109.09800000000001,5700,2025-04-25 10:10:00+05:30,2025-04-25 10:25:00+05:30,-999.5139999999906,1,12
99989.1,783,127.7,127.34,8610,2025-06-19 12:50:00+05:30,2025-06-19 15:25:00+05:30,-281.87999999999954,1,12
99939.59999999999,782,127.8,127.34,8610,2025-06-19 13:05:00+05:30,2025-06-19 15:25:00+05:30,-359.71999999999514,1,12
99915.1,730,136.87,138.2387,9742,2025-07-11 09:35:00+05:30,2025-07-11 09:45:00+05:30,999.1509999999926,1,12
99970.20000000001,765,130.68,129.37320000000003,10294,2025-07-23 10:05:00+05:30,2025-07-23 12:00:00+05:30,-999.7019999999857,1,12
99900.2,914,109.3,109.0,14235,2025-10-08 15:05:00+05:30,2025-10-08 15:25:00+05:30,-274.19999999999743,1,12
99909.6,939,106.4,105.336,14706,2025-10-17 09:25:00+05:30,2025-10-17 10:55:00+05:30,-999.0960000000067,1,12
99953.89,1063,94.03,94.97030000000001,3074,2025-02-28 09:50:00+05:30,2025-02-28 10:20:00+05:30,999.5389000000082,1,13
